id,city,city_amount,city_index,topten_index,topten_row,plot,plot_rename,industry,industry_simple,industry_amount,industry_index,industry_index_m,industry_row,industry_row_m,pollution,pollution_simple,day,transfer,transfer_money,future_use,future_use_simple,future_use_rank,zeren_class,zeren,repair_way,repair_money,repair_stage,public,complete,address,zhong,huifa,banhuifa,else,province
57,沈阳,8,0,,,东北制药股份有限公司北二路北厂区生产区,东北制药股份有限公司北二路北厂区生产区,制药,制药,11,3,3,9,14,汞;铅;砷;其他半挥发性有机物(苯酚/苯胺/多氯联苯）;其他挥发性有机物(氯仿/三氯乙烯/三氯甲烷/氟化物等);镍;铬(总铬和六价铬);其他污染物(氨/pH/二硫化碳/氰化物等);铜;锌;多环芳烃(苯并芘/苯并蒽/苯并萘等);总石油烃(总石油烃/苯/甲苯/萘等）,汞;铅;砷;其他半挥发性有机物;其他挥发性有机物;镍;铬;其他污染物;铜;锌;多环芳烃;总石油烃,90,已出让,15.5,商住用地,商住用地,0,原场地使用者,东北制药股份有限公司,异位修复,2004.1,正在修复,1,1,,T,T,T,T,辽宁省
58,沈阳,8,1,,,沈阳味精厂西地块,沈阳味精厂西地块,化工,化工,64,6,0,1,2,有机农药(六六六/滴滴涕等);铜;多环芳烃(苯并芘/苯并蒽/苯并萘等);汞,有机农药;铜;多环芳烃;汞,101,已出让,5.5,商住用地、学校,商住综合,1,政府,沈阳市铁西区土地储备交易中心,异位修复,2634.47,已修复,0,0,,T,F,T,F,辽宁省
59,沈阳,8,2,,,东北制药股份有限公司北二路北厂区办公区,东北制药股份有限公司北二路北厂区办公区,制药,制药,11,4,4,9,14,未知,未知,90,已出让,同1,商住用地,商住用地,0,原场地使用者,同1,异位修复,同1,正在修复,1,1,,NA,NA,NA,NA,辽宁省
60,沈阳,8,3,,,松下蓄电池（沈阳）有限公司,松下蓄电池（沈阳）有限公司,电池,其他,29,16,3,4,6,其他重金属(镉/锑/鎶/铍/钡/锰),其他重金属,未知,未知,X,未知,未知,2,原场地使用者,企业,未知,未知,正在修复,,,,T,F,F,F,辽宁省
61,沈阳,8,4,,,米其林沈阳一厂,米其林沈阳一厂,轮胎,其他,29,17,4,4,6,其他污染物(氨/pH/二硫化碳/氰化物等),其他污染物,未知,已出让,13.3,商住用地,商住用地,0,政府,沈阳经济技术开发区土地储备交易中心,未知,550,正在修复,,,,F,F,F,T,辽宁省
62,沈阳,8,5,,,东北制药集团股份有限公司北二西路49号和51号区域,东北制药集团股份有限公司北二西路49号和51号区域,制药,制药,11,5,5,9,14,多环芳烃(苯并芘/苯并蒽/苯并萘等),多环芳烃,未知,未出让,X,未知,未知,2,原场地使用者,东北制药股份有限公司,未知,未知,准备修复,,,,F,F,T,F,辽宁省
63,沈阳,8,6,,,沈阳化工厂POPs场地（原氯苯分厂）,沈阳化工厂POPs场地（原氯苯分厂）,化工,化工,64,7,1,1,2,其他污染物(氨/pH/二硫化碳/氰化物等),其他污染物,220,未出让,X,商住用地,商住用地,0,原场地使用者,沈阳化工股份有限公司,原地异位修复;异位修复,7526.4,场地土壤环境评估中,1,1,,F,F,,T,辽宁省
64,沈阳,8,7,,,原沈阳新城化工厂,原沈阳新城化工厂,化工,化工,64,8,2,1,2,铬(总铬和六价铬),铬,未知,未出让,X,未知,未知,2,政府,沈阳市环境保护局沈北新区分局,未知,550,已完成场地土壤环境评估,0,0,,T,F,F,F,辽宁省
65,哈尔滨,1,0,,,哈尔滨龙江特种装备有限公司场地,哈尔滨龙江特种装备有限公司场地,化工,化工,64,9,9,0,0,砷;铅;铬(总铬和六价铬);其他污染物(氨/pH/二硫化碳/氰化物等);多环芳烃(苯并芘/苯并蒽/苯并萘等);其他重金属(镉/锑/鎶/铍/钡/锰),砷;铅;铬;其他污染物;多环芳烃;其他重金属,未知,未出让,X,未知,未知,2,政府,哈尔滨市道外区城乡建设局,未知,1800,已完成场地土壤环境评估,1,0,,T,F,T,T,黑龙江省
66,西安,1,0,,,西安西化氯碱化工有限责任公司原厂址,西安西化氯碱化工有限责任公司原厂址,化工,化工,64,17,5,2,4,其他半挥发性有机物(苯酚/苯胺/多氯联苯）;其他挥发性有机物(氯仿/三氯乙烯/三氯甲烷/氟化物等);有机农药(六六六/滴滴涕等),其他半挥发性有机物;其他挥发性有机物;有机农药,未知,未出让,X,商住用地,商住用地,0,未知,未知,未知,未知,已完成场地土壤环境评估,,,西安市雁塔区昆明路西段两侧，阿房路以东，汉城南路规划路以北,F,T,T,F,陕西省
67,南昌,3,0,,,南昌市赛文礼品文化用品有限公司,南昌市赛文礼品文化用品有限公司,文具,未知,19,2,2,7,10,其他重金属(镉/锑/鎶/铍/钡/锰);铬(总铬和六价铬);锌;铜,其他重金属;铬;锌;铜,150,未出让,X,未知,未知,2,政府,进贤县文港镇人民政府,未知,4420,已修复,,,江西进贤县文港大道57,T,F,F,F,江西省
68,南昌,3,1,,,南昌市茂鹤笔业有限公司,南昌市茂鹤笔业有限公司,文具,未知,19,3,3,7,10,锌;其他重金属(镉/锑/鎶/铍/钡/锰);铜;铬(总铬和六价铬),锌;其他重金属;铜;铬,150,未出让,X,未知,未知,2,政府,进贤县文港镇人民政府,未知,同上,已修复,,,江西省南昌市进贤县文港镇长安路,T,F,F,F,江西省
69,南昌,3,2,,,进贤县永盛制笔加工厂,进贤县永盛制笔加工厂,文具,未知,19,4,4,7,10,锌;铬(总铬和六价铬);其他重金属(镉/锑/鎶/铍/钡/锰);铜,锌;铬;其他重金属;铜,150,未出让,X,未知,未知,2,政府,进贤县文港镇人民政府,未知,同上,已修复,,,江西省南昌市进贤县文港镇长安路,T,F,F,F,江西省
70,福州,1,0,,,原福建璋南电池科技有限公司用地,原福建璋南电池科技有限公司用地,电池,其他,29,7,7,4,5,砷;其他重金属(镉/锑/鎶/铍/钡/锰);铅,砷;其他重金属;铅,未知,未出让,X,商住用地,商住用地,0,政府,福清市土地发展中心,未知,1038,已完成场地土壤环境评估,1,0,福清市洪宽工业村,T,F,F,F,福建省
