id,city,city_amount,city_index,plot,industry,industry_simple,industry_amount,industry_index,pollution,day,transfer,transfer_money,future_use,future_use_simple,future_use_rank,zeren_class,zeren,repair_way,repair_money,repair_stage,public,complete,address,zhong,huifa,banhuifa,else,province
111,天津,21,0,河北区奇伟日用化学有限公司地块,化工,化工,64,41,总石油烃(总石油烃/苯/甲苯/萘等）,未知,未出让,X,未知,未知,2,原场地使用者,奇伟日用化学（天津）有限公司,原位修复,638,正在修复,1,0,,F,T,F,F,天津市
120,天津,21,9,河西区郁江道（陈塘科技商务区）地块7号北侧地块,化工,化工,64,42,其他挥发性有机物(氯仿/三氯乙烯/三氯甲烷/氟化物等);砷,未知,未出让,X,商住用地,商住用地,0,政府,河西区土地整理中心,未知,未知,准备修复,1,1,东至崇岩东路，南至浩江道，西至内江路，北至规划郁江道,T,T,F,F,天津市
121,天津,21,10,河西区郁江道（陈塘科技商务区）地块7号南侧地块,化工,化工,64,43,总石油烃(总石油烃/苯/甲苯/萘等）,未知,未出让,X,商住用地,商住用地,0,政府,河西区土地整理中心,未知,未知,准备修复,1,1,东至崇岩东路，南至双海道，西至内江路，北至浩江北道,F,T,F,F,天津市
122,天津,21,11,河西区（陈塘科技商务区）7号北及7号南地块内西侧界外处理用地,化工,化工,64,44,多环芳烃(苯并芘/苯并蒽/苯并萘等),未知,未出让,X,商住用地,商住用地,0,政府,河西区土地整理中心,未知,未知,准备修复,1,1,东至7号地北侧及7号地南侧地块内，南至水文监测站，西至内江路，北至规划郁江道,F,F,T,F,天津市
124,天津,21,13,河西区洞庭路复兴九里南侧地块,化工,化工,64,45,总石油烃(总石油烃/苯/甲苯/萘等）;其他污染物(氨/pH/二硫化碳/氰化物等),未知,未出让,X,绿地,绿地,3,国资委下属资产管理企业,海河建设发展投资有限公司,异位修复,41000,准备修复,1,0,,F,T,F,T,天津市
126,天津,21,15,西青区化学试剂一厂地块,化工,化工,64,46,其他半挥发性有机物(苯酚/苯胺/多氯联苯）;总石油烃(总石油烃/苯/甲苯/萘等）;其他挥发性有机物(氯仿/三氯乙烯/三氯甲烷/氟化物等),810,未出让,X,商住用地,商住用地,0,未知,未知,未知,未知,准备修复,1,0,,F,T,T,F,天津市
127,天津,21,16,天津市化工危险品贸易储运公司原址,化工,化工,64,47,砷;有机农药(六六六/滴滴涕等);多环芳烃(苯并芘/苯并蒽/苯并萘等),未知,未出让,X,未知,未知,2,未知,未知,未知,未知,准备修复,,,,T,F,T,F,天津市
131,天津,21,20,河西区光大冰峰化工有限公司地块,化工,化工,64,48,总石油烃(总石油烃/苯/甲苯/萘等）,30,未出让,X,绿地,绿地,3,国资委下属资产管理企业,天津市地下铁道有限公司,未知,未知,准备修复,,,,F,T,F,F,天津市
173,乌鲁木齐,2,0,昊鑫锂盐厂,化工,化工,64,49,多环芳烃(苯并芘/苯并蒽/苯并萘等),未开始,未出让,X,未知,未知,2,原场地使用者,新疆昊鑫锂盐开发有限公司,未知,未知,场地土壤环境评估中,0,0,,F,F,T,F,新疆维吾尔自治区
10,武汉,11,0,原武汉染料厂场地,化工,化工,64,50,铅;汞;铬(总铬和六价铬);砷;其他重金属(镉/锑/鎶/铍/钡/锰),未知,未出让,X,未知,未知,2,国资委下属资产管理企业,武汉中央商务区投资控股集团有限公司,未知,18900,已修复,0,0,硚口区易家墩工农路239号,T,F,F,F,湖北省
12,武汉,11,2,原武汉力诺化学集团有限公司场地,化工,化工,64,51,其他重金属(镉/锑/鎶/铍/钡/锰);其他半挥发性有机物(苯酚/苯胺/多氯联苯）;其他污染物(氨/pH/二硫化碳/氰化物等);总石油烃(总石油烃/苯/甲苯/萘等）;其他挥发性有机物(氯仿/三氯乙烯/三氯甲烷/氟化物等),未知,已出让,同上,商住用地,商住用地,0,国资委下属资产管理企业,武汉市硚口国有资产经营有限公司,原位修复；异位修复；原地异位修复,同上,正在修复,1,0,硚口区古田老工业区，北起解放大道，东临古田二路，西靠古田一路，南抵古田路,T,T,T,T,湖北省
13,武汉,11,3,原武汉无机盐厂场地,化工,化工,64,52,其他重金属(镉/锑/鎶/铍/钡/锰);其他半挥发性有机物(苯酚/苯胺/多氯联苯）;其他污染物(氨/pH/二硫化碳/氰化物等);总石油烃(总石油烃/苯/甲苯/萘等）;其他挥发性有机物(氯仿/三氯乙烯/三氯甲烷/氟化物等),未知,已出让,同上,商住用地,商住用地,0,国资委下属资产管理企业,武汉市硚口国有资产经营有限公司,原位修复；异位修复；原地异位修复,同上,正在修复,1,0,硚口区古田老工业区，北起解放大道，东临古田二路，西靠古田一路，南抵古田路,T,T,T,T,湖北省
14,武汉,11,4,原武汉环宇化工有限公司场地,化工,化工,64,53,其他重金属(镉/锑/鎶/铍/钡/锰);其他半挥发性有机物(苯酚/苯胺/多氯联苯）;其他污染物(氨/pH/二硫化碳/氰化物等);总石油烃(总石油烃/苯/甲苯/萘等）;其他挥发性有机物(氯仿/三氯乙烯/三氯甲烷/氟化物等),未知,已出让,同上,商住用地,商住用地,0,国资委下属资产管理企业,武汉市硚口国有资产经营有限公司,原位修复；异位修复；原地异位修复,同上,正在修复,1,0,硚口区古田老工业区，北起解放大道，东临古田二路，西靠古田一路，南抵古田路,T,T,T,T,湖北省
16,武汉,11,6,原武汉农药厂,化工,化工,64,54,有机农药(六六六/滴滴涕等),1095,已出让,14.4,商住用地,商住用地,0,政府,武汉市环保、规划等多部门,异位修复；原位修复,28000,已修复,0,0,汉阳区琴台大道与京广铁路线交汇处,F,F,T,F,湖北省
18,武汉,11,8,原武汉青江化工股份有限公司场地,化工,化工,64,55,多环芳烃(苯并芘/苯并蒽/苯并萘等);其他重金属(镉/锑/鎶/铍/钡/锰);总石油烃(总石油烃/苯/甲苯/萘等）,365,已出让,15.3,商住用地,商住用地,0,政府和开发商共同承担,武汉和纵盛地产有限公司/市土地储备中心,未知,9900,准备修复,,,青山区临江大道862号,T,T,T,F,湖北省
19,武汉,11,9,原葛店化工厂场地,化工,化工,64,56,其他挥发性有机物(氯仿/三氯乙烯/三氯甲烷/氟化物等);有机农药(六六六/滴滴涕等);汞,730,未出让,X,工业用地,工业用地,5,房地产开发商,武汉光谷智造园开发投资有限公司,未知,49757,正在修复,,,东湖高新区左岭镇西北部,T,T,T,F,湖北省
66,西安,1,0,西安西化氯碱化工有限责任公司原厂址,化工,化工,64,57,其他半挥发性有机物(苯酚/苯胺/多氯联苯）;其他挥发性有机物(氯仿/三氯乙烯/三氯甲烷/氟化物等);有机农药(六六六/滴滴涕等),未知,未出让,X,商住用地,商住用地,0,未知,未知,未知,未知,已完成场地土壤环境评估,,,西安市雁塔区昆明路西段两侧，阿房路以东，汉城南路规划路以北,F,T,T,F,陕西省
144,西宁,2,0,原湟中鑫飞化工珞盐厂污染场地,化工,化工,64,58,铬(总铬和六价铬),360,未出让,X,未知,未知,2,国资委下属资产管理企业,西宁市湟水投资管理有限公司,未知,未知,未知,1,0,湟中县田家寨谢家村,T,F,F,F,宁夏回族自治区
145,西宁,2,1,原中星化工有限公司关停企业污染场地,化工,化工,64,59,铬(总铬和六价铬),90,未知,X,未知,未知,2,国资委下属资产管理企业,西宁市湟水投资管理有限公司,未知,未知,未知,0,0,西宁市城东区八一东路5号,T,F,F,F,宁夏回族自治区
48,长沙,6,0,原长沙铬盐厂铬污染地块,化工,化工,64,60,铬(总铬和六价铬),450,未出让,X,未知,未知,2,政府,长沙市政府（原长沙铬盐厂铬污染土壤修复项目）,异位修复,50500,正在修复,1,1,长沙市岳麓区三汊矶原长沙铬盐厂内,T,F,F,F,湖南省
49,长沙,6,1,原坪塘蜂巢颜料化工有限公司污染地块,化工,化工,64,61,砷;铅;锌;铬(总铬和六价铬),510,未出让,X,商住用地,商住用地,0,国资委下属资产管理企业,湘江新区投资集团有限公司,原位修复；异位修复,6800,正在修复,1,1,湖南省长沙市岳麓区坪塘镇湘江中路31号,T,F,F,F,湖南省
54,郑州,3,0,郑州兰博尔科技有限公司退役厂区,化工,化工,64,62,其他半挥发性有机物(苯酚/苯胺/多氯联苯）;有机农药(六六六/滴滴涕等);其他重金属(镉/锑/鎶/铍/钡/锰);其他挥发性有机物(氯仿/三氯乙烯/三氯甲烷/氟化物等),370,未出让,X,商住用地,商住用地,0,原场地使用者,郑州兰博尔科技有限公司 ,原位修复；异位修复,40000,未知,1,1,郑州市东南部二里岗村、城东南路57号,T,T,T,F,河南省
56,郑州,3,2,原郑州五里堡化工总厂,化工,化工,64,63,铬(总铬和六价铬),未知,未出让,X,未知,未知,2,政府,新密市大隗镇人民政府,未知,未知,未知,,,南省新密市大隗镇五里堡村,T,F,F,F,河南省
133,北京,7,1,高立庄油库项目场地,石化,其他,29,0,汞;其他半挥发性有机物(苯酚/苯胺/多氯联苯）;总石油烃(总石油烃/苯/甲苯/萘等）;铬(总铬和六价铬);其他挥发性有机物(氯仿/三氯乙烯/三氯甲烷/氟化物等),未知,未出让,X,商住用地,商住用地,0,原场地使用者,中国石化集团,原地异位修复,816,未知,1,1,丰台区高立庄村403号,T,T,T,F,北京市
163,成都,9,0,成都市千瑞达制革有限责任公司,制革,其他,29,1,铬(总铬和六价铬),未开始,未出让,X,未知,未知,2,未知,未知,未知,未知,场地土壤环境评估中,,,四川省成都市崇州市,T,F,F,F,四川省
165,成都,9,2,华福润滑油厂废旧场地,石化,其他,29,2,总石油烃(总石油烃/苯/甲苯/萘等）,未开始,未出让,X,未知,未知,2,未知,未知,未知,未知,场地土壤环境评估中,,,四川省成都市蒲江县,F,T,F,F,四川省
170,成都,9,7,贵州轮胎股份有限公司橡胶分公司,轮胎,其他,29,3,未知,未开始,未知,,商住用地,商住用地,0,未知,未知,未知,未知,场地土壤环境评估中,,,贵阳市百花大道50号,NA,NA,NA,NA,四川省
171,成都,9,8,贵阳市花溪区浪风关垃圾填埋场,垃圾填埋场,其他,29,4,铜;铬(总铬和六价铬);其他重金属(镉/锑/鎶/铍/钡/锰),未开始,未出让,X,商住用地,商住用地,0,未知,未知,原位修复,未知,场地土壤环境评估中,1,1,花溪区贵筑社区云上村,T,F,F,F,四川省
146,重庆,17,0,重庆顺安爆破器材有限公司（845厂）原址,特种制造,其他,29,5,铬(总铬和六价铬),未知,未知,X,未知,未知,2,未知,重庆市能源投资集团有限公司,未知,未知,已修复,,,,T,F,F,F,重庆市
158,重庆,17,12,重庆江电电力设备有限公司原址,电力,其他,29,6,锌,54,未出让,X,未知,未知,2,原场地使用者,重庆江电电力设备有限公司,异位修复,未知,正在修复,1,0,,T,F,F,F,重庆市
70,福州,1,0,原福建璋南电池科技有限公司用地,电池,其他,29,7,砷;其他重金属(镉/锑/鎶/铍/钡/锰);铅,未知,未出让,X,商住用地,商住用地,0,政府,福清市土地发展中心,未知,1038,已完成场地土壤环境评估,1,0,福清市洪宽工业村,T,F,F,F,福建省
40,广州,10,2,人民制革厂地块,制革,其他,29,8,未知,60,未知,X,未知,未知,2,原场地使用者,广州发展汽车城有限公司（皮革厂更名）,原位修复,未知,准备修复,1,1,黄埔大道东路AEC汽车城,NA,NA,NA,NA,广东省
43,广州,10,5,黄埔大道东646号地块,饲料,其他,29,9,锌;镍,179,未出让,X,商住用地、绿地,商住综合,1,原场地使用者,广东正大康地有限公司,异位修复,X,正在修复,1,1,广州市天河区黄埔大道东646号,T,F,F,F,广东省
44,广州,10,6,广东省畜产进出口集团羽绒厂,纺织,其他,29,10,砷,110,已出让,40.2,商住用地,商住用地,0,原场地使用者,广州广羽物业管理有限公司,异位修复,1576,已修复,0,0,白云区石井镇石潭路444号,T,F,F,F,广东省
47,广州,10,9,广纸集团海珠厂区,造纸,其他,29,11,锌;铅;铜;总石油烃(总石油烃/苯/甲苯/萘等）;砷,75,已出让,115.2,商住用地,商住用地,0,原场地使用者,广州造纸集团有限公司,异位修复,1242,已修复,0,0,海珠区工业大道中广纸路40号,T,T,F,F,广东省
141,兰州,4,1,兰州市自来水管线周边地下水和土壤污染地块,污水处理,其他,29,12,总石油烃(总石油烃/苯/甲苯/萘等）;其他挥发性有机物(氯仿/三氯乙烯/三氯甲烷/氟化物等),720,未出让,X,未知,未知,2,原场地使用者,中国石油兰州石化公司,异位修复,10897.05,未知,0,0,,F,T,F,F,甘肃省
143,兰州,4,3,皋兰县石青村黄金尾矿砂污染地块,采矿,其他,29,13,其他污染物(氨/pH/二硫化碳/氰化物等),未知,未出让,X,未知,未知,2,未知,未知,未知,未知,未知,,,,F,F,,T,甘肃省
27,南京,13,6,锦湖轮胎和燕路工厂地块,轮胎,其他,29,14,铬(总铬和六价铬);总石油烃(总石油烃/苯/甲苯/萘等）;多环芳烃(苯并芘/苯并蒽/苯并萘等);镍,120,未出让,X,商住用地,商住用地,0,原场地使用者,南京锦湖轮胎有限公司,未知,1000,已修复,,,栖霞区和燕路418号,T,T,T,F,江苏省
83,上海,14,12,虹口区A01-01号地块,加油站,其他,29,15,未知,未知,已出让,0.42,商住用地,商住用地,0,未知,未知,未知,未知,未知,,,东至彩虹湾四期，南至彩虹湾四期，西至江杨南路，北至安汾路,NA,NA,NA,NA,上海市
60,沈阳,8,3,松下蓄电池（沈阳）有限公司,电池,其他,29,16,其他重金属(镉/锑/鎶/铍/钡/锰),未知,未知,X,未知,未知,2,原场地使用者,企业,未知,未知,正在修复,,,,T,F,F,F,辽宁省
61,沈阳,8,4,米其林沈阳一厂,轮胎,其他,29,17,其他污染物(氨/pH/二硫化碳/氰化物等),未知,已出让,13.3,商住用地,商住用地,0,政府,沈阳经济技术开发区土地储备交易中心,未知,550,正在修复,,,,F,F,F,T,辽宁省
104,石家庄,10,3,石家庄润泰纺织印染有限公司 （原厂区）,纺织,其他,29,18,未知,未知,未出让,,未知,未知,2,原场地使用者,石家庄润泰纺织印染有限公司,未知,未知,正在修复,,,石家庄市桥西区槐安西路6号,NA,NA,NA,NA,河北省
96,太原,12,9,国电太原第一热电厂092-2和093地块,电力,其他,29,19,未知,未知,已出让,11.9,商住用地,商住用地,0,未知,未知,异位修复,2100,准备修复,,,,NA,NA,NA,NA,山西省
98,太原,12,11,南堰污水处理厂地块,污水处理,其他,29,20,未知,未知,未出让,X,未知,未知,2,未知,未知,未知,未知,正在修复,,,,NA,NA,NA,NA,山西省
116,天津,21,5,第一热电厂地块,电力,其他,29,21,多环芳烃(苯并芘/苯并蒽/苯并萘等),未知,已出让,41,商住用地、学校,商住综合,1,未知,未知,未知,未知,正在修复,,,东至六纬路，南至十五经路，西至海河东路，北至十三经路,F,F,T,F,天津市
119,天津,21,8,天津石化聚醚部整体搬迁项目地块,石化,其他,29,22,其他挥发性有机物(氯仿/三氯乙烯/三氯甲烷/氟化物等);总石油烃(总石油烃/苯/甲苯/萘等）;多环芳烃(苯并芘/苯并蒽/苯并萘等),450,未出让,X,未知,未知,2,原场地使用者,中国石油化工集团公司,未知,27300,正在修复,,,,F,T,T,F,天津市
129,天津,21,18,天津市北辰区荣国路（安康）地块,固废处理,其他,29,23,其他污染物(氨/pH/二硫化碳/氰化物等),未知,未出让,X,商住用地,商住用地,0,政府,天津市北辰区土地整理中心,未知,未知,准备修复,1,1,,F,F,,T,天津市
174,乌鲁木齐,2,1,乌石化污水库,石化,其他,29,24,未知,240,未出让,X,未知,未知,2,政府,甘泉堡经济技术开发区环保局,原位修复,未知,已修复,1,0,,NA,NA,NA,NA,新疆维吾尔自治区
139,长春,1,0,原热电一厂厂,电力,其他,29,25,砷;汞,390,未知,X,商住用地,商住用地,0,房地产开发商,长春市长发置业有限公司,未知,15715,已修复,,,宽城区铁北二路31号（宽城区北四条以西，九台路以东，铁北二路以北，台北大街以南）,T,F,F,F,甘肃省
51,长沙,6,3,横市镇望北峰石煤开采点土壤污染风险管控项目,采矿,其他,29,26,其他重金属(镉/锑/鎶/铍/钡/锰);砷,未知,未出让,X,未知,未知,2,政府,宁乡县横市镇人民政府,未知,618,正在修复,,,横市镇望北峰村,T,F,F,F,湖南省
52,长沙,6,4,龙田镇钒矿历史遗留土壤污染风险管控项目,采矿,其他,29,27,未知,未知,未出让,X,未知,未知,2,政府,宁乡县龙田镇人民政府,未知,746,正在修复,,,湖南省长沙市宁乡县龙田镇,NA,NA,NA,NA,湖南省
53,长沙,6,5,黄材镇月山村石煤开采点土壤污染风险管控项目,采矿,其他,29,28,未知,180,未出让,X,未知,未知,2,政府,宁乡沩山风景名胜区管理委员会,原位修复,620,正在修复,1,1,湖南省长沙市宁乡县黄材镇月山村,NA,NA,NA,NA,湖南省
134,北京,7,2,首钢园区脱硫车间及周边道路场地,钢铁,钢铁,19,0,未知,未知,未出让,X,商住用地,商住用地,0,原场地使用者,首都钢铁集团有限公司,未知,未知,未知,1,1,首钢石景山主厂区,NA,NA,NA,NA,北京市
135,北京,7,3,世界侨商创新中心一期项目及周边道路场地,钢铁,钢铁,19,1,多环芳烃(苯并芘/苯并蒽/苯并萘等),未知,未出让,X,商住用地,商住用地,0,原场地使用者,首都钢铁集团有限公司,未知,未知,未知,1,1,首钢石景山主厂区,F,F,T,F,北京市
136,北京,7,4,首钢园区冬季奥运会冰上项目训练中心场地,钢铁,钢铁,19,2,铅;镍;砷;多环芳烃(苯并芘/苯并蒽/苯并萘等);其他重金属(镉/锑/鎶/铍/钡/锰),60,未出让,X,文体用地,其他,5,原场地使用者,首都钢铁集团有限公司,异位修复,1414,未知,1,1,首钢石景山主厂区,T,F,T,F,北京市
137,北京,7,5,首钢园区五一剧场（制粉车间）改造项目地块,钢铁,钢铁,19,3,多环芳烃(苯并芘/苯并蒽/苯并萘等),125,未出让,X,公共设施、文体用地、绿地,公共设施综合,7,原场地使用者,首都钢铁集团有限公司,异位修复,2018,未知,1,1,首钢石景山主厂区,F,F,T,F,北京市
